=== RUN   TestCompleteWorkflow
    gpu_test.go:317: Creating input vectors...
    gpu_test.go:337: Initializing communicator...
    gpu_test.go:350: Transferring vectors to GPUs...
    gpu_test.go:374: Starting group operation...
    gpu_test.go:383: Beginning AllReduce operation...
    gpu_test.go:403: Ending group operation...
    gpu_test.go:411: Checking status...
    gpu_test.go:430: Operation completed, copying results...
    gpu_test.go:457: Result[273] = 0.000000, want 10.000000
    gpu_test.go:457: Result[274] = 0.000000, want 10.000000
    gpu_test.go:457: Result[275] = 0.000000, want 10.000000
    gpu_test.go:457: Result[276] = 0.000000, want 10.000000
    gpu_test.go:457: Result[277] = 0.000000, want 10.000000
    gpu_test.go:457: Result[278] = 0.000000, want 10.000000
    gpu_test.go:457: Result[279] = 0.000000, want 10.000000
    gpu_test.go:457: Result[280] = 0.000000, want 10.000000
    gpu_test.go:457: Result[281] = 0.000000, want 10.000000
    gpu_test.go:457: Result[282] = 0.000000, want 10.000000
    gpu_test.go:457: Result[283] = 0.000000, want 10.000000
    gpu_test.go:457: Result[284] = 0.000000, want 10.000000
    gpu_test.go:457: Result[285] = 0.000000, want 10.000000
    gpu_test.go:457: Result[286] = 0.000000, want 10.000000
    gpu_test.go:457: Result[287] = 0.000000, want 10.000000
    gpu_test.go:457: Result[288] = 0.000000, want 10.000000
    gpu_test.go:457: Result[289] = 0.000000, want 10.000000
    gpu_test.go:457: Result[290] = 0.000000, want 10.000000
    gpu_test.go:457: Result[291] = 0.000000, want 10.000000
    gpu_test.go:457: Result[292] = 0.000000, want 10.000000
    gpu_test.go:457: Result[293] = 0.000000, want 10.000000
    gpu_test.go:457: Result[294] = 0.000000, want 10.000000
    gpu_test.go:457: Result[295] = 0.000000, want 10.000000
    gpu_test.go:457: Result[296] = 0.000000, want 10.000000
    gpu_test.go:457: Result[297] = 0.000000, want 10.000000
    gpu_test.go:457: Result[298] = 0.000000, want 10.000000
    gpu_test.go:457: Result[299] = 0.000000, want 10.000000
    gpu_test.go:457: Result[300] = 0.000000, want 10.000000
    gpu_test.go:457: Result[301] = 0.000000, want 10.000000
    gpu_test.go:457: Result[302] = 0.000000, want 10.000000
    gpu_test.go:457: Result[303] = 0.000000, want 10.000000
    gpu_test.go:457: Result[304] = 0.000000, want 10.000000
    gpu_test.go:457: Result[305] = 0.000000, want 10.000000
    gpu_test.go:457: Result[306] = 0.000000, want 10.000000
    gpu_test.go:457: Result[307] = 0.000000, want 10.000000
    gpu_test.go:457: Result[308] = 0.000000, want 10.000000
    gpu_test.go:457: Result[309] = 0.000000, want 10.000000
    gpu_test.go:457: Result[310] = 0.000000, want 10.000000
    gpu_test.go:457: Result[311] = 0.000000, want 10.000000
    gpu_test.go:457: Result[312] = 0.000000, want 10.000000
    gpu_test.go:457: Result[313] = 0.000000, want 10.000000
    gpu_test.go:457: Result[314] = 0.000000, want 10.000000
    gpu_test.go:457: Result[315] = 0.000000, want 10.000000
    gpu_test.go:457: Result[316] = 0.000000, want 10.000000
    gpu_test.go:457: Result[317] = 0.000000, want 10.000000
    gpu_test.go:457: Result[318] = 0.000000, want 10.000000
    gpu_test.go:457: Result[319] = 0.000000, want 10.000000
    gpu_test.go:457: Result[320] = 0.000000, want 10.000000
    gpu_test.go:457: Result[321] = 0.000000, want 10.000000
    gpu_test.go:457: Result[322] = 0.000000, want 10.000000
    gpu_test.go:457: Result[323] = 0.000000, want 10.000000
    gpu_test.go:457: Result[324] = 0.000000, want 10.000000
    gpu_test.go:457: Result[325] = 0.000000, want 10.000000
    gpu_test.go:457: Result[326] = 0.000000, want 10.000000
    gpu_test.go:457: Result[327] = 0.000000, want 10.000000
    gpu_test.go:457: Result[328] = 0.000000, want 10.000000
    gpu_test.go:457: Result[329] = 0.000000, want 10.000000
    gpu_test.go:457: Result[330] = 0.000000, want 10.000000
    gpu_test.go:457: Result[331] = 0.000000, want 10.000000
    gpu_test.go:457: Result[332] = 0.000000, want 10.000000
    gpu_test.go:457: Result[333] = 0.000000, want 10.000000
    gpu_test.go:457: Result[334] = 0.000000, want 10.000000
    gpu_test.go:457: Result[335] = 0.000000, want 10.000000
    gpu_test.go:457: Result[336] = 0.000000, want 10.000000
    gpu_test.go:457: Result[337] = 0.000000, want 10.000000
    gpu_test.go:457: Result[338] = 0.000000, want 10.000000
    gpu_test.go:457: Result[339] = 0.000000, want 10.000000
    gpu_test.go:457: Result[340] = 0.000000, want 10.000000
    gpu_test.go:457: Result[341] = 0.000000, want 10.000000
    gpu_test.go:457: Result[342] = 0.000000, want 10.000000
    gpu_test.go:457: Result[343] = 0.000000, want 10.000000
    gpu_test.go:457: Result[344] = 0.000000, want 10.000000
    gpu_test.go:457: Result[345] = 0.000000, want 10.000000
    gpu_test.go:457: Result[346] = 0.000000, want 10.000000
    gpu_test.go:457: Result[347] = 0.000000, want 10.000000
    gpu_test.go:457: Result[348] = 0.000000, want 10.000000
    gpu_test.go:457: Result[349] = 0.000000, want 10.000000
    gpu_test.go:457: Result[350] = 0.000000, want 10.000000
    gpu_test.go:457: Result[351] = 0.000000, want 10.000000
    gpu_test.go:457: Result[352] = 0.000000, want 10.000000
    gpu_test.go:457: Result[353] = 0.000000, want 10.000000
    gpu_test.go:457: Result[354] = 0.000000, want 10.000000
    gpu_test.go:457: Result[355] = 0.000000, want 10.000000
    gpu_test.go:457: Result[356] = 0.000000, want 10.000000
    gpu_test.go:457: Result[357] = 0.000000, want 10.000000
    gpu_test.go:457: Result[358] = 0.000000, want 10.000000
    gpu_test.go:457: Result[359] = 0.000000, want 10.000000
    gpu_test.go:457: Result[360] = 0.000000, want 10.000000
    gpu_test.go:457: Result[361] = 0.000000, want 10.000000
    gpu_test.go:457: Result[362] = 0.000000, want 10.000000
    gpu_test.go:457: Result[363] = 0.000000, want 10.000000
    gpu_test.go:457: Result[364] = 0.000000, want 10.000000
    gpu_test.go:457: Result[365] = 0.000000, want 10.000000
    gpu_test.go:457: Result[366] = 0.000000, want 10.000000
    gpu_test.go:457: Result[367] = 0.000000, want 10.000000
    gpu_test.go:457: Result[368] = 0.000000, want 10.000000
    gpu_test.go:457: Result[369] = 0.000000, want 10.000000
    gpu_test.go:457: Result[370] = 0.000000, want 10.000000
    gpu_test.go:457: Result[371] = 0.000000, want 10.000000
    gpu_test.go:457: Result[372] = 0.000000, want 10.000000
    gpu_test.go:457: Result[373] = 0.000000, want 10.000000
    gpu_test.go:457: Result[374] = 0.000000, want 10.000000
    gpu_test.go:457: Result[375] = 0.000000, want 10.000000
    gpu_test.go:457: Result[376] = 0.000000, want 10.000000
    gpu_test.go:457: Result[377] = 0.000000, want 10.000000
    gpu_test.go:457: Result[378] = 0.000000, want 10.000000
    gpu_test.go:457: Result[379] = 0.000000, want 10.000000
    gpu_test.go:457: Result[380] = 0.000000, want 10.000000
    gpu_test.go:457: Result[381] = 0.000000, want 10.000000
    gpu_test.go:457: Result[382] = 0.000000, want 10.000000
    gpu_test.go:457: Result[383] = 0.000000, want 10.000000
    gpu_test.go:457: Result[384] = 0.000000, want 10.000000
    gpu_test.go:457: Result[385] = 0.000000, want 10.000000
    gpu_test.go:457: Result[386] = 0.000000, want 10.000000
    gpu_test.go:457: Result[387] = 0.000000, want 10.000000
    gpu_test.go:457: Result[388] = 0.000000, want 10.000000
    gpu_test.go:457: Result[389] = 0.000000, want 10.000000
    gpu_test.go:457: Result[390] = 0.000000, want 10.000000
    gpu_test.go:457: Result[391] = 0.000000, want 10.000000
    gpu_test.go:457: Result[392] = 0.000000, want 10.000000
    gpu_test.go:457: Result[393] = 0.000000, want 10.000000
    gpu_test.go:457: Result[394] = 0.000000, want 10.000000
    gpu_test.go:457: Result[395] = 0.000000, want 10.000000
    gpu_test.go:457: Result[396] = 0.000000, want 10.000000
    gpu_test.go:457: Result[397] = 0.000000, want 10.000000
    gpu_test.go:457: Result[398] = 0.000000, want 10.000000
    gpu_test.go:457: Result[399] = 0.000000, want 10.000000
    gpu_test.go:457: Result[400] = 0.000000, want 10.000000
    gpu_test.go:457: Result[401] = 0.000000, want 10.000000
    gpu_test.go:457: Result[402] = 0.000000, want 10.000000
    gpu_test.go:457: Result[403] = 0.000000, want 10.000000
    gpu_test.go:457: Result[404] = 0.000000, want 10.000000
    gpu_test.go:457: Result[405] = 0.000000, want 10.000000
    gpu_test.go:457: Result[406] = 0.000000, want 10.000000
    gpu_test.go:457: Result[407] = 0.000000, want 10.000000
    gpu_test.go:457: Result[408] = 0.000000, want 10.000000
    gpu_test.go:457: Result[409] = 0.000000, want 10.000000
    gpu_test.go:457: Result[410] = 0.000000, want 10.000000
    gpu_test.go:457: Result[411] = 0.000000, want 10.000000
    gpu_test.go:457: Result[412] = 0.000000, want 10.000000
    gpu_test.go:457: Result[413] = 0.000000, want 10.000000
    gpu_test.go:457: Result[414] = 0.000000, want 10.000000
    gpu_test.go:457: Result[415] = 0.000000, want 10.000000
    gpu_test.go:457: Result[416] = 0.000000, want 10.000000
    gpu_test.go:457: Result[417] = 0.000000, want 10.000000
    gpu_test.go:457: Result[418] = 0.000000, want 10.000000
    gpu_test.go:457: Result[419] = 0.000000, want 10.000000
    gpu_test.go:457: Result[420] = 0.000000, want 10.000000
    gpu_test.go:457: Result[421] = 0.000000, want 10.000000
    gpu_test.go:457: Result[422] = 0.000000, want 10.000000
    gpu_test.go:457: Result[423] = 0.000000, want 10.000000
    gpu_test.go:457: Result[424] = 0.000000, want 10.000000
    gpu_test.go:457: Result[425] = 0.000000, want 10.000000
    gpu_test.go:457: Result[426] = 0.000000, want 10.000000
    gpu_test.go:457: Result[427] = 0.000000, want 10.000000
    gpu_test.go:457: Result[428] = 0.000000, want 10.000000
    gpu_test.go:457: Result[429] = 0.000000, want 10.000000
    gpu_test.go:457: Result[430] = 0.000000, want 10.000000
    gpu_test.go:457: Result[431] = 0.000000, want 10.000000
    gpu_test.go:457: Result[432] = 0.000000, want 10.000000
    gpu_test.go:457: Result[433] = 0.000000, want 10.000000
    gpu_test.go:457: Result[434] = 0.000000, want 10.000000
    gpu_test.go:457: Result[435] = 0.000000, want 10.000000
    gpu_test.go:457: Result[436] = 0.000000, want 10.000000
    gpu_test.go:457: Result[437] = 0.000000, want 10.000000
    gpu_test.go:457: Result[438] = 0.000000, want 10.000000
    gpu_test.go:457: Result[439] = 0.000000, want 10.000000
    gpu_test.go:457: Result[440] = 0.000000, want 10.000000
    gpu_test.go:457: Result[441] = 0.000000, want 10.000000
    gpu_test.go:457: Result[442] = 0.000000, want 10.000000
    gpu_test.go:457: Result[443] = 0.000000, want 10.000000
    gpu_test.go:457: Result[444] = 0.000000, want 10.000000
    gpu_test.go:457: Result[445] = 0.000000, want 10.000000
    gpu_test.go:457: Result[446] = 0.000000, want 10.000000
    gpu_test.go:457: Result[447] = 0.000000, want 10.000000
    gpu_test.go:457: Result[448] = 0.000000, want 10.000000
    gpu_test.go:457: Result[449] = 0.000000, want 10.000000
    gpu_test.go:457: Result[450] = 0.000000, want 10.000000
    gpu_test.go:457: Result[451] = 0.000000, want 10.000000
    gpu_test.go:457: Result[452] = 0.000000, want 10.000000
    gpu_test.go:457: Result[453] = 0.000000, want 10.000000
